# started: save_path=sota/ verify_num_samples=10000
[VERIFY] 2026-01-17 17:04:48 | Epoch 0001 | valid 3349/10000 (33.49%) | invalid 4049/10000 (40.49%) | nan 2602/10000 (26.02%) | viol_counts hip=3737 thigh=78 calf=2789 | viol(rad) mean=0.189748 max=1.267075
[VERIFY] 2026-01-17 17:05:54 | Epoch 0002 | valid 2555/10000 (25.55%) | invalid 3854/10000 (38.54%) | nan 3591/10000 (35.91%) | viol_counts hip=4203 thigh=139 calf=2942 | viol(rad) mean=0.207843 max=1.510857
[VERIFY] 2026-01-17 17:07:00 | Epoch 0003 | valid 2274/10000 (22.74%) | invalid 3950/10000 (39.50%) | nan 3776/10000 (37.76%) | viol_counts hip=4439 thigh=141 calf=2942 | viol(rad) mean=0.212845 max=1.617586
[VERIFY] 2026-01-17 17:08:07 | Epoch 0004 | valid 2170/10000 (21.70%) | invalid 3995/10000 (39.95%) | nan 3835/10000 (38.35%) | viol_counts hip=4773 thigh=113 calf=3015 | viol(rad) mean=0.210010 max=1.338990
[VERIFY] 2026-01-17 17:09:13 | Epoch 0005 | valid 1969/10000 (19.69%) | invalid 4069/10000 (40.69%) | nan 3962/10000 (39.62%) | viol_counts hip=5111 thigh=136 calf=3202 | viol(rad) mean=0.209554 max=1.142679
[VERIFY] 2026-01-17 17:10:20 | Epoch 0006 | valid 1655/10000 (16.55%) | invalid 4217/10000 (42.17%) | nan 4128/10000 (41.28%) | viol_counts hip=5571 thigh=114 calf=3623 | viol(rad) mean=0.213982 max=1.265604
[VERIFY] 2026-01-17 17:11:26 | Epoch 0007 | valid 1514/10000 (15.14%) | invalid 4339/10000 (43.39%) | nan 4147/10000 (41.47%) | viol_counts hip=6038 thigh=121 calf=4260 | viol(rad) mean=0.218262 max=1.144836
[VERIFY] 2026-01-17 17:12:33 | Epoch 0008 | valid 1226/10000 (12.26%) | invalid 4145/10000 (41.45%) | nan 4629/10000 (46.29%) | viol_counts hip=6313 thigh=106 calf=4722 | viol(rad) mean=0.225261 max=1.149411
[VERIFY] 2026-01-17 17:13:39 | Epoch 0009 | valid 1003/10000 (10.03%) | invalid 3826/10000 (38.26%) | nan 5171/10000 (51.71%) | viol_counts hip=6372 thigh=114 calf=4990 | viol(rad) mean=0.230114 max=1.141565
[VERIFY] 2026-01-17 17:14:46 | Epoch 0010 | valid 818/10000 (8.18%) | invalid 3567/10000 (35.67%) | nan 5615/10000 (56.15%) | viol_counts hip=6650 thigh=104 calf=5133 | viol(rad) mean=0.239458 max=1.442690
[VERIFY] 2026-01-17 17:15:52 | Epoch 0011 | valid 709/10000 (7.09%) | invalid 3277/10000 (32.77%) | nan 6014/10000 (60.14%) | viol_counts hip=6810 thigh=108 calf=5237 | viol(rad) mean=0.244396 max=1.164158
