# started: save_path= verify_num_samples=10000
[VERIFY] 2026-01-17 16:58:44 | Epoch 0001 | valid 4616/10000 (46.16%) | invalid 2816/10000 (28.16%) | nan 2568/10000 (25.68%) | viol_counts hip=1422 thigh=306 calf=3043 | viol(rad) mean=0.195542 max=3.319460
[VERIFY] 2026-01-17 17:02:53 | Epoch 0002 | valid 7157/10000 (71.57%) | invalid 2127/10000 (21.27%) | nan 716/10000 (7.16%) | viol_counts hip=559 thigh=115 calf=1983 | viol(rad) mean=0.137623 max=2.860276
[VERIFY] 2026-01-17 17:07:20 | Epoch 0003 | valid 7541/10000 (75.41%) | invalid 1692/10000 (16.92%) | nan 767/10000 (7.67%) | viol_counts hip=287 thigh=73 calf=1662 | viol(rad) mean=0.105089 max=2.919158
[VERIFY] 2026-01-17 17:11:53 | Epoch 0004 | valid 8103/10000 (81.03%) | invalid 1475/10000 (14.75%) | nan 422/10000 (4.22%) | viol_counts hip=326 thigh=41 calf=1293 | viol(rad) mean=0.085661 max=2.961333
[VERIFY] 2026-01-17 17:16:25 | Epoch 0005 | valid 8378/10000 (83.78%) | invalid 1055/10000 (10.55%) | nan 567/10000 (5.67%) | viol_counts hip=155 thigh=27 calf=1017 | viol(rad) mean=0.082827 max=0.952235
[VERIFY] 2026-01-17 17:20:58 | Epoch 0006 | valid 8330/10000 (83.30%) | invalid 1191/10000 (11.91%) | nan 479/10000 (4.79%) | viol_counts hip=215 thigh=29 calf=1100 | viol(rad) mean=0.077086 max=1.130763
[VERIFY] 2026-01-17 17:25:35 | Epoch 0007 | valid 8421/10000 (84.21%) | invalid 1037/10000 (10.37%) | nan 542/10000 (5.42%) | viol_counts hip=149 thigh=24 calf=985 | viol(rad) mean=0.068651 max=0.736118
[VERIFY] 2026-01-17 17:30:08 | Epoch 0008 | valid 8490/10000 (84.90%) | invalid 824/10000 (8.24%) | nan 686/10000 (6.86%) | viol_counts hip=117 thigh=10 calf=801 | viol(rad) mean=0.069228 max=0.910629
[VERIFY] 2026-01-17 17:34:41 | Epoch 0009 | valid 8704/10000 (87.04%) | invalid 961/10000 (9.61%) | nan 335/10000 (3.35%) | viol_counts hip=82 thigh=9 calf=938 | viol(rad) mean=0.074047 max=2.907367
[VERIFY] 2026-01-17 17:39:16 | Epoch 0010 | valid 8971/10000 (89.71%) | invalid 652/10000 (6.52%) | nan 377/10000 (3.77%) | viol_counts hip=67 thigh=22 calf=623 | viol(rad) mean=0.062922 max=1.009763
[VERIFY] 2026-01-17 17:43:49 | Epoch 0011 | valid 8570/10000 (85.70%) | invalid 801/10000 (8.01%) | nan 629/10000 (6.29%) | viol_counts hip=113 thigh=41 calf=736 | viol(rad) mean=0.064184 max=1.157625
